GEO_ID,NAME,B01001_001E,B25003_001E,B01003_001E,C16001_001E,C16002_013E,C16002_014E,B28011_001E,B28011_008E,B25046_001E,B27010_001E,B27010_002E,B27010_017E,B27010_018E,B27010_033E,B27010_034E,B27010_050E,B27010_051E,B27010_066E,state,county,tract,block group
1500000US150010201001,Block Group 1; Census Tract 201; Hawaii County; Hawaii,1505,485,1505,,0,21,485,126,841,1505,404,0,294,44,541,12,266,0,15,001,020100,1
1500000US150010201002,Block Group 2; Census Tract 201; Hawaii County; Hawaii,495,213,495,,0,31,213,42,430,495,95,5,71,35,218,3,111,7,15,001,020100,2
1500000US150010201003,Block Group 3; Census Tract 201; Hawaii County; Hawaii,1427,603,1427,,0,7,603,47,1540,1424,204,0,146,5,691,6,383,0,15,001,020100,3
1500000US150010201004,Block Group 4; Census Tract 201; Hawaii County; Hawaii,1325,373,1325,,12,9,373,34,977,1296,276,0,306,13,538,8,176,22,15,001,020100,4
1500000US150010202021,Block Group 1; Census Tract 202.02; Hawaii County; Hawaii,1170,212,1170,,0,5,212,40,444,700,291,0,57,0,263,0,89,0,15,001,020202,1
1500000US150010202022,Block Group 2; Census Tract 202.02; Hawaii County; Hawaii,1082,367,1082,,0,4,367,48,770,1078,255,0,152,7,462,16,209,0,15,001,020202,2
1500000US150010203001,Block Group 1; Census Tract 203; Hawaii County; Hawaii,1580,393,1580,,0,0,393,52,923,1346,322,31,292,0,418,18,314,0,15,001,020300,1
1500000US150010203002,Block Group 2; Census Tract 203; Hawaii County; Hawaii,1078,486,1078,,0,0,486,17,475,1078,403,0,293,0,269,4,113,0,15,001,020300,2
1500000US150010203003,Block Group 3; Census Tract 203; Hawaii County; Hawaii,1726,870,1726,,81,0,870,67,947,1691,324,0,434,0,587,17,346,0,15,001,020300,3
1500000US150010204001,Block Group 1; Census Tract 204; Hawaii County; Hawaii,1560,532,1560,,0,46,532,47,643,1560,572,0,277,51,464,37,247,0,15,001,020400,1
1500000US150010204002,Block Group 2; Census Tract 204; Hawaii County; Hawaii,1162,381,1162,,0,60,381,9,666,1162,411,0,315,3,319,0,117,0,15,001,020400,2
1500000US150010204003,Block Group 3; Census Tract 204; Hawaii County; Hawaii,870,510,870,,0,0,510,57,574,870,154,0,109,4,302,19,305,0,15,001,020400,3
1500000US150010205001,Block Group 1; Census Tract 205; Hawaii County; Hawaii,1152,633,1152,,0,0,633,95,703,1152,25,0,304,0,483,0,340,0,15,001,020500,1
1500000US150010205002,Block Group 2; Census Tract 205; Hawaii County; Hawaii,1803,564,1803,,0,119,564,50,1161,1803,722,110,322,55,706,38,53,0,15,001,020500,2
1500000US150010205003,Block Group 3; Census Tract 205; Hawaii County; Hawaii,1416,279,1416,,0,0,279,12,,1394,421,14,619,8,344,54,10,0,15,001,020500,3
1500000US150010205004,Block Group 4; Census Tract 205; Hawaii County; Hawaii,1474,660,1474,,0,0,660,58,1080,1451,223,0,357,0,325,0,546,0,15,001,020500,4
1500000US150010206001,Block Group 1; Census Tract 206; Hawaii County; Hawaii,779,484,779,,0,0,484,71,592,775,86,0,67,0,353,42,269,0,15,001,020600,1
1500000US150010206002,Block Group 2; Census Tract 206; Hawaii County; Hawaii,850,297,850,,4,24,297,49,651,848,199,8,128,10,354,5,167,0,15,001,020600,2
1500000US150010206003,Block Group 3; Census Tract 206; Hawaii County; Hawaii,1811,525,1811,,5,48,525,46,1147,1811,441,4,345,21,659,37,366,0,15,001,020600,3
1500000US150010206004,Block Group 4; Census Tract 206; Hawaii County; Hawaii,3249,876,3249,,9,40,876,106,1890,3245,661,10,572,86,1328,144,684,9,15,001,020600,4
1500000US150010207011,Block Group 1; Census Tract 207.01; Hawaii County; Hawaii,2231,852,2231,,0,24,852,94,1761,2231,430,0,419,69,686,50,696,0,15,001,020701,1
1500000US150010207012,Block Group 2; Census Tract 207.01; Hawaii County; Hawaii,1360,511,1360,,0,0,511,0,1313,1327,316,17,200,0,639,21,172,0,15,001,020701,2
1500000US150010207013,Block Group 3; Census Tract 207.01; Hawaii County; Hawaii,1565,473,1565,,0,0,473,49,1157,1565,241,0,439,2,525,0,360,0,15,001,020701,3
1500000US150010207021,Block Group 1; Census Tract 207.02; Hawaii County; Hawaii,1251,564,1251,,0,145,564,9,1228,1251,230,27,270,0,411,0,340,0,15,001,020702,1
1500000US150010207022,Block Group 2; Census Tract 207.02; Hawaii County; Hawaii,2535,831,2535,,0,45,831,9,1591,2535,527,0,358,0,1017,0,633,0,15,001,020702,2
1500000US150010207023,Block Group 3; Census Tract 207.02; Hawaii County; Hawaii,1324,468,1324,,61,0,468,56,1193,1316,193,0,204,0,527,0,392,0,15,001,020702,3
1500000US150010208011,Block Group 1; Census Tract 208.01; Hawaii County; Hawaii,1704,518,1704,,0,0,518,55,,1596,217,0,285,0,669,0,425,0,15,001,020801,1
1500000US150010208012,Block Group 2; Census Tract 208.01; Hawaii County; Hawaii,2217,874,2217,,2,3,874,25,1709,2217,485,0,405,3,767,27,560,0,15,001,020801,2
1500000US150010208013,Block Group 3; Census Tract 208.01; Hawaii County; Hawaii,1206,298,1206,,0,14,298,0,638,1206,420,0,225,0,348,0,213,0,15,001,020801,3
1500000US150010208021,Block Group 1; Census Tract 208.02; Hawaii County; Hawaii,1158,472,1158,,1,36,472,34,1015,1088,101,0,154,0,513,4,320,0,15,001,020802,1
