AIANNHH,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B28002_013E,B09019_005E,B09019_008E,B19101_001E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E
0010,"Acoma Pueblo and Off-Reservation Trust Land, NM",2982,170,158,97,34,70,265,340,29,60,583,1152,49,62,143,128,41,6,144,72,62,57,239,0,2548,0,20,27,148
0020,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",27694,7668,6846,2741,1410,153,280,1294,4276,2969,6677,15049,288,224,232,182,743,1142,1389,1699,884,1125,21659,1049,275,1283,74,1442,1912
0050,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",681,13,63,23,4,2,0,38,18,21,139,214,40,50,28,23,11,2,17,28,12,5,34,0,519,31,0,2,95
0080,"Allegany Reservation, NY",6135,99,239,238,279,256,1641,467,426,419,1469,2337,164,233,186,123,63,93,169,242,78,127,4117,135,1324,24,0,171,364
0095,"Alturas Indian Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0110,"Annette Island Reserve, AK",1465,91,104,36,16,22,81,84,38,24,358,655,43,55,64,47,22,26,54,83,18,32,108,5,1232,14,31,7,68
0115,"Aroostook Band of Micmac Trust Land, ME",297,2,28,15,51,6,3,9,7,9,86,110,9,25,14,23,0,1,4,13,0,3,42,7,223,0,0,0,25
0120,"Auburn Rancheria and Off-Reservation Trust Land, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125,"Augustine Reservation, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0140,"Bad River Reservation, WI",1406,93,105,64,35,3,37,58,94,100,350,563,50,24,53,36,9,5,34,84,8,63,257,38,1035,1,0,2,73
0155,"Barona Reservation and Off-Reservation Trust Land, CA",536,7,25,2,4,0,0,10,10,13,124,211,21,18,17,23,2,4,18,16,28,11,163,0,254,14,0,24,81
0165,"Battle Mountain Reservation and Off-Reservation Trust Land, NV",196,33,21,3,4,10,3,30,12,15,38,52,4,17,11,0,0,0,11,2,3,2,13,0,124,4,0,3,52
0170,"Bay Mills Reservation and Off-Reservation Trust Land, MI",1199,55,24,17,7,7,10,21,38,15,260,415,62,45,46,39,14,15,37,6,15,6,190,41,771,21,1,0,175
0185,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",95,18,23,0,0,0,0,9,6,3,41,22,0,4,5,3,0,0,1,3,3,1,4,0,79,0,0,5,7
0200,"Berry Creek Rancheria and Off-Reservation Trust Land, CA",125,13,4,0,0,0,0,2,2,5,28,46,0,7,1,4,1,3,3,0,2,5,25,0,63,0,4,7,26
0215,"Big Bend Rancheria, CA",5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1
0225,"Big Cypress Reservation, FL",439,16,6,64,0,21,0,34,21,19,90,146,28,19,21,8,0,0,6,8,8,8,21,9,383,14,0,0,12
0240,"Big Lagoon Rancheria, CA",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0250,"Big Pine Reservation and Off-Reservation Trust Land, CA",371,26,65,17,14,0,4,32,22,34,83,151,10,8,13,6,3,5,11,20,2,5,83,0,221,7,2,31,27
0265,"Big Sandy Rancheria and Off-Reservation Trust Land, CA",151,12,7,7,2,1,1,2,0,1,33,36,4,1,6,7,0,0,1,2,1,2,2,0,126,0,0,0,23
0275,"Big Valley Rancheria, CA",396,21,23,6,7,1,4,12,82,13,59,183,21,32,0,11,0,6,20,0,2,0,5,0,290,3,0,26,72
0290,"Bishop Reservation, CA",1914,145,174,29,56,38,20,101,60,75,449,570,8,84,110,71,12,26,27,55,14,26,184,17,1157,4,61,109,382
0305,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",10375,591,1134,630,205,97,211,568,365,367,2053,3648,384,421,540,235,65,149,210,275,181,116,1308,26,8661,59,27,131,163
0325,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",81,11,5,5,5,0,0,4,5,0,32,40,0,1,0,0,1,10,1,0,1,1,35,0,40,0,0,0,6
